,activation,depth,filters,kernel_initializer,pooling,random_state,graph,model,config_ID,batch_size,max_epochs,learning_rate,optimizer_class,loss_function,early_stopping_startingepoch,early_stopping_patience,reduce_lr_on_plateau_patience,reduce_lr_on_plateau_factor,trainable_params,non_trainable_params,total_params,loss,mre_av,mre_phi,mae
0,elu,3,1,glorot_normal,,2400,BA,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7496227025985718,0.0113385077565908,0.0501952320337295,0.5364916920661926
1,elu,3,1,glorot_normal,,2401,BA,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7769646048545837,0.0112987635657191,0.0605924725532531,0.5335602760314941
2,elu,3,1,glorot_normal,,2402,BA,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7778871059417725,0.0115442350506782,0.0477983243763446,0.5456609725952148
3,elu,5,1,glorot_normal,,2400,BA,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.755171000957489,0.0115370638668537,0.0451395735144615,0.5460647344589233
4,elu,5,1,glorot_normal,,2401,BA,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.7981293201446533,0.0119962505996227,0.0407699085772037,0.568200409412384
5,elu,5,1,glorot_normal,,2402,BA,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.7322384715080261,0.0109266638755798,0.0437459424138069,0.5163418650627136
6,elu,7,1,glorot_normal,,2400,BA,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8528335094451904,0.01261733379215,0.037852257490158,0.596939742565155
7,elu,7,1,glorot_normal,,2401,BA,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.7912535071372986,0.0116323456168174,0.0452005006372928,0.5499305725097656
8,elu,7,1,glorot_normal,,2402,BA,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8804038763046265,0.0126629397273063,0.0465233661234378,0.5995511412620544
9,elu,9,1,glorot_normal,,2400,BA,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8841332793235779,0.0127300443127751,0.0373629257082939,0.6031935811042786
10,elu,9,1,glorot_normal,,2401,BA,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.948324978351593,0.0133304549381136,0.0505545102059841,0.6311273574829102
11,elu,9,1,glorot_normal,,2402,BA,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.9523820281028748,0.0133851505815982,0.0475191175937652,0.6344277858734131
12,swish,3,1,glorot_normal,,2400,BA,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.8831178545951843,0.0129008619114756,0.0575530752539634,0.6093549132347107
13,swish,3,1,glorot_normal,,2401,BA,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.8071954846382141,0.0119318719953298,0.0523255616426467,0.5641991496086121
14,swish,3,1,glorot_normal,,2402,BA,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.8276253938674927,0.0122952042147517,0.049913004040718,0.5814087986946106
15,elu,3,1,glorot_normal,,2403,BA,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7668861746788025,0.011733797378838,0.0418570488691329,0.5545893311500549
16,elu,3,1,glorot_normal,,2404,BA,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7720878720283508,0.01174699049443,0.0406309105455875,0.5562201142311096
17,elu,5,1,glorot_normal,,2403,BA,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.843003511428833,0.012161448597908,0.0501035749912261,0.5763347744941711
18,elu,5,1,glorot_normal,,2404,BA,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.7308364510536194,0.0108818840235471,0.037454716861248,0.5142680406570435
19,elu,7,1,glorot_normal,,2403,BA,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.7689106464385986,0.0113488668575882,0.0406813211739063,0.5364315509796143
20,elu,7,1,glorot_normal,,2404,BA,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.7631704211235046,0.0112005770206451,0.0406375527381897,0.530396580696106
21,elu,9,1,glorot_normal,,2403,BA,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8872882723808289,0.0126375360414385,0.0415183454751968,0.5990673899650574
22,elu,9,1,glorot_normal,,2404,BA,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8697462677955627,0.0126643171533942,0.0433565787971019,0.5997056365013123
23,swish,3,1,glorot_normal,,2403,BA,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.8823112845420837,0.0128612909466028,0.0631118044257164,0.607145369052887
24,swish,3,1,glorot_normal,,2404,BA,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.8391832113265991,0.0123778814449906,0.0448810942471027,0.5856782793998718
25,swish,5,1,glorot_normal,,2400,BA,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.8101096153259277,0.0119292950257658,0.0409045852720737,0.5649343729019165
26,swish,5,1,glorot_normal,,2401,BA,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.8370804786682129,0.01228101644665,0.0478755831718444,0.5807948112487793
27,swish,5,1,glorot_normal,,2402,BA,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.768481433391571,0.0116070732474327,0.0411616936326026,0.5484821796417236
28,swish,5,1,glorot_normal,,2403,BA,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.8173761367797852,0.0121097033843398,0.0408925823867321,0.5723770260810852
29,swish,5,1,glorot_normal,,2404,BA,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.7550877332687378,0.0111549403518438,0.0391237847507,0.5272120237350464
30,swish,7,1,glorot_normal,,2400,BA,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.9293731451034546,0.0130524011328816,0.0583120658993721,0.6179553270339966
31,swish,7,1,glorot_normal,,2401,BA,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8944028615951538,0.0129233933985233,0.051065370440483,0.6117852926254272
32,swish,7,1,glorot_normal,,2402,BA,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8844528198242188,0.012447471730411,0.0448079444468021,0.5890321135520935
33,swish,7,1,glorot_normal,,2403,BA,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.9173595905303956,0.01270008739084,0.048393178731203,0.601046085357666
34,swish,7,1,glorot_normal,,2404,BA,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8235589265823364,0.012146689929068,0.0472505390644073,0.5757473111152649
35,swish,9,1,glorot_normal,,2400,BA,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.9138020277023317,0.0130473934113979,0.0445844680070877,0.6185322403907776
36,swish,9,1,glorot_normal,,2401,BA,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8394116163253784,0.0120762083679437,0.041904293000698,0.5727507472038269
37,swish,9,1,glorot_normal,,2402,BA,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.9072734117507936,0.0128903081640601,0.0435575805604457,0.6095989346504211
38,swish,9,1,glorot_normal,,2403,BA,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.9275463819503784,0.0131039591506123,0.0406798012554645,0.6198106408119202
39,swish,9,1,glorot_normal,,2404,BA,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.9798820614814758,0.013839310966432,0.0486015379428863,0.6555657386779785
40,softplus,3,1,glorot_normal,,2400,BA,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.865273654460907,0.0126185603439807,0.0511365346610546,0.5969136357307434
41,softplus,3,1,glorot_normal,,2401,BA,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7593762874603271,0.0115030659362673,0.0429248847067356,0.5437588691711426
42,softplus,3,1,glorot_normal,,2402,BA,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.8706961870193481,0.012570864520967,0.0616063326597213,0.5945802927017212
43,softplus,3,1,glorot_normal,,2403,BA,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7795294523239136,0.0117897633463144,0.050272848457098,0.5569900870323181
44,softplus,3,1,glorot_normal,,2404,BA,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,2046,756,2802,0.7662513852119446,0.0114826681092381,0.0365468822419643,0.5433151721954346
45,softplus,5,1,glorot_normal,,2400,BA,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.7716390490531921,0.0114960595965385,0.0375910177826881,0.5447975993156433
46,softplus,5,1,glorot_normal,,2401,BA,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.8042890429496765,0.0123417256399989,0.0375460013747215,0.584723949432373
47,softplus,5,1,glorot_normal,,2402,BA,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.8314275145530701,0.0123520968481898,0.0376254208385944,0.584228515625
48,softplus,5,1,glorot_normal,,2403,BA,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.8272137641906738,0.0122282840311527,0.0373299196362495,0.579035222530365
49,softplus,5,1,glorot_normal,,2404,BA,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,3306,1260,4566,0.7129217982292175,0.0109753021970391,0.0364197455346584,0.5185558199882507
50,softplus,7,1,glorot_normal,,2400,BA,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8705571889877319,0.0124024096876382,0.0404703989624977,0.5875748991966248
51,softplus,7,1,glorot_normal,,2401,BA,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8902589678764343,0.0130144245922565,0.0488328263163566,0.6168515086174011
52,softplus,7,1,glorot_normal,,2402,BA,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.8048415780067444,0.0120159797370433,0.036966785788536,0.5691060423851013
53,softplus,7,1,glorot_normal,,2403,BA,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.7350865602493286,0.0112709961831569,0.0407015569508075,0.5324257612228394
54,softplus,7,1,glorot_normal,,2404,BA,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,4566,1764,6330,0.7608665227890015,0.0113735198974609,0.0473570115864276,0.5380080342292786
55,softplus,9,1,glorot_normal,,2400,BA,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8235259056091309,0.0119544649496674,0.0398276858031749,0.5656724572181702
56,softplus,9,1,glorot_normal,,2401,BA,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8106505274772644,0.0121391369029879,0.0393536053597927,0.5741338133811951
57,softplus,9,1,glorot_normal,,2402,BA,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8404184579849243,0.0124531285837292,0.0427475571632385,0.589914858341217
58,softplus,9,1,glorot_normal,,2403,BA,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8749719858169556,0.0128482654690742,0.0356867387890815,0.6084575653076172
59,softplus,9,1,glorot_normal,,2404,BA,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,5826,2268,8094,0.8704869747161865,0.0126687064766883,0.0414803810417652,0.6011977791786194
60,elu,3,5,glorot_normal,reduce_max,2400,BA,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9244444370269777,0.0127828456461429,0.0572896935045719,0.6070438027381897
61,elu,3,5,glorot_normal,reduce_max,2401,BA,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.936774730682373,0.0127525739371776,0.0522270388901233,0.6045323610305786
62,elu,3,5,glorot_normal,reduce_max,2402,BA,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9660302996635436,0.0128699596971273,0.0533800646662712,0.6111487150192261
63,elu,3,5,glorot_normal,reduce_max,2403,BA,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9147820472717284,0.0128742204979062,0.0545181110501289,0.610454797744751
64,elu,3,5,glorot_normal,reduce_max,2404,BA,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9071105122566224,0.0124008180573582,0.0510720573365688,0.5888991951942444
65,elu,5,5,glorot_normal,reduce_max,2400,BA,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.904052734375,0.012423344887793,0.0468269400298595,0.5893847942352295
66,elu,5,5,glorot_normal,reduce_max,2401,BA,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.86187344789505,0.0121765164658427,0.043978963047266,0.5774372816085815
67,elu,5,5,glorot_normal,reduce_max,2402,BA,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.904283344745636,0.0126065099611878,0.0472936853766441,0.5981025099754333
68,elu,5,5,glorot_normal,reduce_max,2403,BA,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.9064986109733582,0.0123548740521073,0.0503435768187046,0.5862631797790527
69,elu,5,5,glorot_normal,reduce_max,2404,BA,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,33260,50,33310,0.8865463733673096,0.0120475078001618,0.0463496446609497,0.5720881223678589
70,elu,7,5,glorot_normal,reduce_max,2400,BA,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8597456216812134,0.012019102461636,0.0422616489231586,0.5695074200630188
71,elu,7,5,glorot_normal,reduce_max,2401,BA,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8751163482666016,0.012145297601819,0.0410902425646781,0.5758259296417236
72,elu,7,5,glorot_normal,reduce_max,2402,BA,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8502513766288757,0.0119971465319395,0.0414767824113369,0.5684217810630798
73,elu,7,5,glorot_normal,reduce_max,2403,BA,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8761142492294312,0.0120467711240053,0.0407774522900581,0.5714871287345886
74,elu,7,5,glorot_normal,reduce_max,2404,BA,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,47140,70,47210,0.8779028058052063,0.0122645171359181,0.041900135576725,0.5819675922393799
75,elu,9,5,glorot_normal,reduce_max,2400,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8747057318687439,0.0121633652597665,0.0365170501172542,0.577012836933136
76,elu,9,5,glorot_normal,reduce_max,2401,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8684777021408081,0.012029480189085,0.0399276725947856,0.570221483707428
77,elu,9,5,glorot_normal,reduce_max,2402,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8780087232589722,0.0122219724580645,0.0401053242385387,0.579251229763031
78,elu,9,5,glorot_normal,reduce_max,2403,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.8667078614234924,0.0119624901562929,0.0394671745598316,0.5666105151176453
79,elu,9,5,glorot_normal,reduce_max,2404,BA,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,61020,90,61110,0.9110512137413024,0.012439333833754,0.0382677428424358,0.5900259017944336
80,elu,3,5,glorot_normal,reduce_mean,2400,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9280486702919006,0.0132094537839293,0.0484980717301368,0.6240733861923218
81,elu,3,5,glorot_normal,reduce_mean,2401,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9570766687393188,0.0135939866304397,0.0539716444909572,0.6412397623062134
82,elu,3,5,glorot_normal,reduce_mean,2402,BA,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,19380,30,19410,0.9492372274398804,0.0132306311279535,0.0515059977769851,0.6250008940696716
