,activation,depth,filters,kernel_initializer,pooling,random_state,graph,model,config_ID,batch_size,max_epochs,learning_rate,optimizer_class,loss_function,early_stopping_startingepoch,early_stopping_patience,reduce_lr_on_plateau_patience,reduce_lr_on_plateau_factor,trainable_params,non_trainable_params,total_params,loss,mre_av,mre_phi,mae
0,elu,4,1,glorot_normal,,2400,ER,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5455939769744873,0.007914156652987,0.0329923667013645,0.4859146773815155
1,elu,4,1,glorot_normal,,2401,ER,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.4069016575813293,0.0067804940044879,0.0271479468792676,0.4161036312580108
2,elu,4,1,glorot_normal,,2402,ER,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.4263493120670318,0.0070619978941977,0.0273534562438726,0.4332039356231689
3,elu,4,1,glorot_normal,,2403,ER,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5218521952629089,0.0079807480797171,0.0295392405241727,0.4898518025875091
4,elu,4,1,glorot_normal,,2404,ER,EWGINN,0,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.4058448076248169,0.0069704386405646,0.0296458341181278,0.4274561703205108
5,elu,9,1,glorot_normal,,2400,ER,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.3862126171588897,0.0067764581181108,0.0287308655679225,0.4158129096031189
6,elu,9,1,glorot_normal,,2401,ER,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.7245569825172424,0.0095361452549695,0.0433319360017776,0.5858663320541382
7,elu,9,1,glorot_normal,,2402,ER,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.4010862708091736,0.0067394133657217,0.0279487986117601,0.4137678146362304
8,elu,9,1,glorot_normal,,2403,ER,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.5233803391456604,0.007648934610188,0.0320764072239398,0.4698042273521423
9,elu,9,1,glorot_normal,,2404,ER,EWGINN,1,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.4922557771205902,0.0079549252986907,0.0326664894819259,0.4881874918937683
10,elu,14,1,glorot_normal,,2400,ER,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,1.632053256034851,0.0106708090752363,0.0511501766741275,0.6517639756202698
11,elu,14,1,glorot_normal,,2401,ER,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.8133864998817444,0.0096870884299278,0.0456038303673267,0.5948017239570618
12,elu,14,1,glorot_normal,,2402,ER,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.419387936592102,0.006982640363276,0.0295156482607126,0.4289678037166595
13,elu,14,1,glorot_normal,,2403,ER,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.7051487565040588,0.0090280827134847,0.0431116074323654,0.5546772480010986
14,elu,14,1,glorot_normal,,2404,ER,EWGINN,2,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.4551822245121002,0.0072789127007126,0.035232339054346,0.4471833407878876
15,elu,19,1,glorot_normal,,2400,ER,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.5241215229034424,0.0122038284316658,0.0587571673095226,0.7478639483451843
16,elu,19,1,glorot_normal,,2401,ER,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,0.5867308974266052,0.0084135653451085,0.0325262583792209,0.5170117020606995
17,elu,19,1,glorot_normal,,2402,ER,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,0.5711632370948792,0.008304676041007,0.0340726971626281,0.5103633403778076
18,elu,19,1,glorot_normal,,2403,ER,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,0.7604619264602661,0.0096443835645914,0.0401651412248611,0.5931962728500366
19,elu,19,1,glorot_normal,,2404,ER,EWGINN,3,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,1.3561607599258425,0.0133073581382632,0.0528013296425342,0.816697895526886
20,swish,4,1,glorot_normal,,2400,ER,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.6575217843055725,0.0087293675169348,0.0373208299279212,0.535210371017456
21,swish,4,1,glorot_normal,,2401,ER,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.582552969455719,0.0085630323737859,0.0308002401143312,0.5252280831336975
22,swish,4,1,glorot_normal,,2402,ER,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5110650658607483,0.007780444342643,0.0324163362383842,0.4774081110954284
23,swish,4,1,glorot_normal,,2403,ER,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5661638379096985,0.0083941584452986,0.0326140187680721,0.5153947472572327
24,swish,4,1,glorot_normal,,2404,ER,EWGINN,4,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5915072560310364,0.0084056481719017,0.0355071052908897,0.5167908668518066
25,swish,9,1,glorot_normal,,2400,ER,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.5872970223426819,0.0083083175122737,0.0335486643016338,0.5105965733528137
26,swish,9,1,glorot_normal,,2401,ER,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.7322348356246948,0.0096080917865037,0.0342471711337566,0.5898747444152832
27,swish,9,1,glorot_normal,,2402,ER,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,1.298062801361084,0.0129098165780305,0.0540742948651313,0.7934488654136658
28,swish,9,1,glorot_normal,,2403,ER,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.8487920761108398,0.0106253130361437,0.0458195284008979,0.6529538035392761
29,swish,9,1,glorot_normal,,2404,ER,EWGINN,5,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.7196258902549744,0.0093769589439034,0.0409095808863639,0.5750805139541626
30,swish,14,1,glorot_normal,,2400,ER,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.8703989386558533,0.0102052604779601,0.0410151556134223,0.626853346824646
31,swish,14,1,glorot_normal,,2401,ER,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,1.0597586631774902,0.0114273773506283,0.0486444383859634,0.7015973329544067
32,swish,14,1,glorot_normal,,2402,ER,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.4967145621776581,0.0074207335710525,0.0308414492756128,0.4557551741600036
33,swish,14,1,glorot_normal,,2403,ER,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.6184472441673279,0.0086195729672908,0.0393785424530506,0.5298117399215698
34,swish,14,1,glorot_normal,,2404,ER,EWGINN,6,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.8243426084518433,0.0093219671398401,0.0425536595284938,0.5720570087432861
35,swish,19,1,glorot_normal,,2400,ER,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.3175277709960938,0.0199480894953012,0.0692840069532394,1.2257699966430664
36,swish,19,1,glorot_normal,,2401,ER,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.317476511001587,0.0199451707303524,0.0690898299217224,1.2257219552993774
37,swish,19,1,glorot_normal,,2402,ER,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.317266702651977,0.0199465490877628,0.069198377430439,1.2257388830184937
38,swish,19,1,glorot_normal,,2403,ER,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.3173186779022217,0.0199480392038822,0.0693941414356231,1.2257018089294434
39,swish,19,1,glorot_normal,,2404,ER,EWGINN,7,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,0.9918562173843384,0.0109754223376512,0.0395725965499877,0.6756002306938171
40,softplus,4,1,glorot_normal,,2400,ER,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.4376675486564636,0.0073089650832116,0.0288053769618272,0.4478195905685425
41,softplus,4,1,glorot_normal,,2401,ER,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5903552770614624,0.0085123572498559,0.0327141806483268,0.5221813321113586
42,softplus,4,1,glorot_normal,,2402,ER,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.5659241676330566,0.0083448700606822,0.0314513891935348,0.5122000575065613
43,softplus,4,1,glorot_normal,,2403,ER,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.4812608957290649,0.0077479402534663,0.0306076742708683,0.4746626019477844
44,softplus,4,1,glorot_normal,,2404,ER,EWGINN,8,32,5000,2,Adam,mse,200,550,50,0.5,5679,2152,7831,0.4908709228038788,0.0079437596723437,0.0325055457651615,0.4867312014102936
45,softplus,9,1,glorot_normal,,2400,ER,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.4211912155151367,0.007230682298541,0.0278201606124639,0.4437316060066223
46,softplus,9,1,glorot_normal,,2401,ER,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.4671149551868438,0.0074565620161592,0.0306867826730012,0.4575406908988952
47,softplus,9,1,glorot_normal,,2402,ER,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.5780777335166931,0.0087509583681821,0.0356772728264331,0.5361917614936829
48,softplus,9,1,glorot_normal,,2403,ER,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.6080338954925537,0.0084394523873925,0.033091127872467,0.5180456638336182
49,softplus,9,1,glorot_normal,,2404,ER,EWGINN,9,32,5000,2,Adam,mse,200,550,50,0.5,12404,4842,17246,0.4472616910934448,0.0073319119401276,0.032495766878128,0.4492676854133606
50,softplus,14,1,glorot_normal,,2400,ER,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.581908106803894,0.008585549890995,0.0369755662977695,0.5267566442489624
51,softplus,14,1,glorot_normal,,2401,ER,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.5472378134727478,0.0081250639632344,0.0336006246507167,0.4984683692455292
52,softplus,14,1,glorot_normal,,2402,ER,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.7073582410812378,0.0094285579398274,0.0354056805372238,0.5794178247451782
53,softplus,14,1,glorot_normal,,2403,ER,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.4771606922149658,0.0076750521548092,0.0305507499724626,0.4706875085830688
54,softplus,14,1,glorot_normal,,2404,ER,EWGINN,10,32,5000,2,Adam,mse,200,550,50,0.5,19129,7532,26661,0.5035961270332336,0.0077317701652646,0.0330495610833168,0.4745059013366699
55,softplus,19,1,glorot_normal,,2400,ER,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.3172428607940674,0.0199427474290132,0.0689685344696044,1.2257026433944702
56,softplus,19,1,glorot_normal,,2401,ER,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.3176097869873047,0.0199478790163993,0.069195382297039,1.2258141040802002
57,softplus,19,1,glorot_normal,,2402,ER,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.317371368408203,0.0199442934244871,0.0690110251307487,1.2257487773895264
58,softplus,19,1,glorot_normal,,2403,ER,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,2.3181443214416504,0.0199549701064825,0.0697448998689651,1.2259376049041748
59,softplus,19,1,glorot_normal,,2404,ER,EWGINN,11,32,5000,2,Adam,mse,200,550,50,0.5,25854,10222,36076,0.6495524048805237,0.0086738048121333,0.0315884761512279,0.5329636931419373
60,elu,4,5,glorot_normal,reduce_max,2400,ER,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2974472939968109,0.0058668605051934,0.028235962614417,0.3607099652290344
61,elu,4,5,glorot_normal,reduce_max,2401,ER,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2379542887210846,0.0052895215339958,0.026302371174097,0.3252969682216644
62,elu,4,5,glorot_normal,reduce_max,2402,ER,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2526307702064514,0.005509961862117,0.0274929422885179,0.338646799325943
63,elu,4,5,glorot_normal,reduce_max,2403,ER,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2362935990095138,0.0052022966556251,0.0250283405184745,0.3200139999389648
64,elu,4,5,glorot_normal,reduce_max,2404,ER,EWGINN,12,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2600294947624206,0.0054668439552187,0.0259407050907611,0.3359657526016235
65,elu,9,5,glorot_normal,reduce_max,2400,ER,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3721776604652405,0.0066665667109191,0.0290524046868085,0.410472571849823
66,elu,9,5,glorot_normal,reduce_max,2401,ER,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3473120927810669,0.0063967546448111,0.027428600937128,0.3939602971076965
67,elu,9,5,glorot_normal,reduce_max,2402,ER,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3493144512176513,0.0064687766134738,0.0272966865450143,0.3977410197257995
68,elu,9,5,glorot_normal,reduce_max,2403,ER,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3319078683853149,0.0064006182365119,0.0265450514853,0.3934917449951172
69,elu,9,5,glorot_normal,reduce_max,2404,ER,EWGINN,13,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3368557393550873,0.0063651613891124,0.0285477265715599,0.3914941847324371
70,elu,14,5,glorot_normal,reduce_max,2400,ER,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,0.5299807786941528,0.0084326537325978,0.0297055225819349,0.5187876224517822
71,elu,14,5,glorot_normal,reduce_max,2401,ER,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,0.7586748600006104,0.0102687291800975,0.0390042811632156,0.6312423944473267
